,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
299,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Bob Kiss,0,0
300,candidate_Kurt Wright,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson
301,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Dan Smith,candidate_Bob Kiss,0
302,candidate_Kurt Wright,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson
303,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson
304,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,0,0
305,candidate_Kurt Wright,candidate_Dan Smith,candidate_James Simpson,candidate_Bob Kiss,candidate_Andy Montroll
306,candidate_Andy Montroll,0,0,0,0
307,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,0
308,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,candidate_Kurt Wright,0
309,candidate_Dan Smith,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Kurt Wright,candidate_James Simpson
310,candidate_Kurt Wright,candidate_Dan Smith,candidate_Bob Kiss,candidate_Andy Montroll,0
311,candidate_Bob Kiss,candidate_James Simpson,candidate_Andy Montroll,0,0
312,candidate_Kurt Wright,candidate_Dan Smith,0,0,0
313,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,0,0
314,candidate_Dan Smith,candidate_Andy Montroll,0,0,0
315,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Bob Kiss,candidate_Dan Smith,candidate_James Simpson
316,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,0,0
317,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Andy Montroll,candidate_James Simpson,0
318,candidate_Kurt Wright,candidate_Andy Montroll,0,0,0
319,candidate_Bob Kiss,candidate_Dan Smith,0,0,0
320,candidate_Kurt Wright,0,0,0,0
321,candidate_Kurt Wright,candidate_Bob Kiss,candidate_Dan Smith,candidate_James Simpson,0
322,candidate_Bob Kiss,0,0,0,0
323,candidate_Dan Smith,candidate_Kurt Wright,0,0,0
324,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
325,candidate_Kurt Wright,candidate_Andy Montroll,0,0,0
326,candidate_Bob Kiss,candidate_Dan Smith,0,0,0
